experiment,dependence,n,sigma,rep,khat,ub_cert,rem1_mean,rem1_p,pi1,rem2_mean,rem2_p,pi2
ordersweep_censoring,pair0.9,5000,0.5,5,3,,0.6385790809365972,1.3341350246776074e-10,1.0,0.006469240957251643,4.4985240811090677e-05,1.0
ordersweep_censoring,pair0.9,5000,0.5,6,3,,0.6494309112414932,7.37798044880833e-10,1.0,0.008931456824348339,0.0005224540247596998,1.0
ordersweep_censoring,pair0.9,5000,0.5,7,3,,0.6369116196171896,2.4727267344815118e-08,1.0,0.007630986223960945,5.526393373478378e-06,1.0
ordersweep_censoring,pair0.9,5000,0.5,8,3,,0.6219136261656981,8.000156093146416e-12,1.0,0.009121800299262317,0.0009665166211036968,1.0
ordersweep_censoring,pair0.9,5000,0.5,9,3,,0.6291944395961129,7.354217235189253e-11,1.0,0.007471383550294719,3.6490915528819556e-05,1.0
ordersweep_censoring,pair0.9,5000,0.5,10,3,,0.635431478184991,1.7860157797144893e-11,1.0,0.0077609964644988596,7.321491712430905e-05,1.0
ordersweep_censoring,pair0.9,5000,0.5,11,3,,0.6751251167131587,6.845917832620785e-09,1.0,0.006222411065136857,0.00019788771894246882,1.0
ordersweep_censoring,pair0.9,5000,0.5,12,3,,0.6377784629776806,3.8964831361454344e-11,1.0,0.0078108379361400025,0.00045804667804238974,1.0
ordersweep_censoring,pair0.9,5000,0.5,13,3,,0.611107517800331,7.010636515758506e-11,1.0,0.007017983662548277,0.001726641992015665,1.0
ordersweep_censoring,pair0.9,5000,0.5,14,3,,0.6372201386352481,1.2027301377059985e-10,1.0,0.007758201474615312,4.704065333027696e-05,1.0
ordersweep_censoring,pair0.9,5000,0.5,15,3,,0.6729538784166039,1.1171852776215019e-08,1.0,0.006322032907752795,0.0030666828418689507,1.0
ordersweep_censoring,pair0.9,5000,0.5,16,3,,0.6654703509044898,2.7312932093792597e-07,1.0,0.007776025744447879,4.4183528279839734e-05,1.0
ordersweep_censoring,pair0.9,5000,0.5,17,3,,0.6245339767616951,5.304159333974212e-10,1.0,0.007126901041608291,0.00017083411734131193,1.0
ordersweep_censoring,pair0.9,5000,0.5,18,3,,0.6464522506686154,3.2005509353894013e-12,1.0,0.005217844367739366,0.0020040015225277763,1.0
ordersweep_censoring,pair0.9,5000,0.5,19,3,,0.6718693552704373,2.5759404609360104e-09,1.0,0.007142217356491532,1.4036111839477172e-05,1.0
