experiment,dgp,dependence,sigma,rep,true_order,khat_bspline,khat_poly,rem1_p_bspline,rem2_p_bspline
bspline_basis,o2,pair0.9,0.5,15,2,2,2,3.5216274341109965e-13,0.9585465180449289
bspline_basis,o2,pair0.9,0.5,16,2,2,2,4.221577531993148e-10,0.809331893615481
bspline_basis,o2,pair0.9,0.5,17,2,2,2,2.0183854587685346e-12,0.9334890458086568
bspline_basis,o2,pair0.9,0.5,18,2,2,2,3.0897506775318107e-13,0.909499638354682
bspline_basis,o2,pair0.9,0.5,19,2,2,2,8.992806499463768e-15,0.99605800257957
bspline_basis,o3,indep,0.0,0,3,3,3,0.0,5.24469356832924e-13
bspline_basis,o3,indep,0.0,1,3,3,3,0.0,5.7601516778582607e-08
bspline_basis,o3,indep,0.0,2,3,3,3,0.0,4.2071734984716613e-10
bspline_basis,o3,indep,0.0,3,3,3,3,0.0,1.2258971615608516e-11
bspline_basis,o3,indep,0.0,4,3,3,3,0.0,7.537304114180188e-13
bspline_basis,o3,indep,0.0,5,3,3,3,0.0,2.812866661816571e-08
bspline_basis,o3,indep,0.0,6,3,3,3,0.0,8.023965862857807e-07
bspline_basis,o3,indep,0.0,7,3,3,3,0.0,4.933609076829271e-12
bspline_basis,o3,indep,0.0,8,3,3,3,0.0,6.59738930153253e-12
bspline_basis,o3,indep,0.0,9,3,3,3,0.0,1.9746521084940127e-09
bspline_basis,o3,indep,0.0,10,3,3,3,0.0,2.1005419625907962e-13
bspline_basis,o3,indep,0.0,11,3,3,3,1.1102230246251565e-16,4.966538291739653e-11
bspline_basis,o3,indep,0.0,12,3,3,3,0.0,6.669734542441574e-09
bspline_basis,o3,indep,0.0,13,3,3,3,0.0,4.738465175790907e-11
bspline_basis,o3,indep,0.0,14,3,3,3,0.0,3.3932729959218477e-09
bspline_basis,o3,indep,0.0,15,3,3,3,0.0,3.054945185709812e-11
bspline_basis,o3,indep,0.0,16,3,3,3,0.0,3.114211188925964e-08
bspline_basis,o3,indep,0.0,17,3,3,3,0.0,2.2219865048800358e-05
bspline_basis,o3,indep,0.0,18,3,3,3,0.0,8.618994407072478e-12
bspline_basis,o3,indep,0.0,19,3,3,3,0.0,5.5036185608869914e-09
bspline_basis,o3,indep,0.5,0,3,3,3,2.220446049250313e-16,1.0061129263050361e-08
bspline_basis,o3,indep,0.5,1,3,3,3,2.220446049250313e-15,1.5093791749798413e-07
bspline_basis,o3,indep,0.5,2,3,3,3,2.1871393585115584e-14,1.0437523068063115e-09
bspline_basis,o3,indep,0.5,3,3,3,3,2.6645352591003757e-15,8.686662500423381e-11
bspline_basis,o3,indep,0.5,4,3,3,3,1.1102230246251565e-16,3.265326897761156e-09
bspline_basis,o3,indep,0.5,5,3,3,3,1.887379141862766e-15,4.529154828958326e-12
bspline_basis,o3,indep,0.5,6,3,3,3,9.992007221626409e-16,1.602691312996285e-10
bspline_basis,o3,indep,0.5,7,3,3,3,1.3988810110276972e-14,3.291498962276762e-09
bspline_basis,o3,indep,0.5,8,3,3,3,0.0,4.371947248671404e-12
bspline_basis,o3,indep,0.5,9,3,3,3,2.220446049250313e-16,2.5446351581415172e-08
bspline_basis,o3,indep,0.5,10,3,3,3,0.0,2.0964452396299293e-11
bspline_basis,o3,indep,0.5,11,3,3,3,3.3306690738754696e-16,2.0422002955378105e-07
