experiment,dgp,dependence,sigma,rep,true_order,khat,rem1_p,rem2_p,rem3_p,ub_cert
ksweep_k4,o2,pair0.5,0.0,8,2,2,3.9335201762469296e-13,0.923856517464669,0.4866873515853122,9.497916680041853e-06
ksweep_k4,o2,pair0.5,0.0,9,2,2,6.985523270941485e-13,0.8671251647945567,0.8243767922812466,3.8552134494925376e-05
ksweep_k4,o2,pair0.5,0.0,10,2,2,2.554623179662485e-13,0.6844238367934555,0.5078325251669171,4.5388085855951444e-05
ksweep_k4,o2,pair0.5,0.0,11,2,2,7.427392034742297e-14,0.8608594240736233,0.6759452819493834,1.365323325741679e-05
ksweep_k4,o2,pair0.5,0.0,12,2,2,2.8888003100746573e-13,0.6856329574736548,0.7424913804569967,1.664184871885289e-05
ksweep_k4,o2,pair0.5,0.0,13,2,2,4.440892098500626e-16,0.93840040507168,0.8622154384597297,8.553013660101995e-06
ksweep_k4,o2,pair0.5,0.0,14,2,2,2.4424906541753444e-13,0.9455882941861217,0.6802227724444334,4.88306968816041e-06
ksweep_k4,o2,pair0.5,0.0,15,2,2,1.765254609153999e-14,0.6271306194460117,0.7278011475192812,3.911885884501322e-05
ksweep_k4,o2,pair0.5,0.0,16,2,2,8.804068585277491e-14,0.8611367743658628,0.7456644169281164,1.0682419698786718e-05
ksweep_k4,o2,pair0.5,0.0,17,2,2,3.3084646133829665e-14,0.9047181167762358,0.18891993851403355,1.0278587725268772e-05
ksweep_k4,o2,pair0.5,0.0,18,2,2,1.4432899320127035e-14,0.9772963792633519,0.9126426054187673,-1.1877541314887207e-07
ksweep_k4,o2,pair0.5,0.0,19,2,2,3.235189893757706e-13,0.5221401077340899,0.6748904197772373,4.0300249450507665e-05
ksweep_k4,o2,pair0.5,0.5,0,2,2,1.8984813721090177e-13,0.9993821185430828,0.8194777265215749,-6.750007656138068e-06
ksweep_k4,o2,pair0.5,0.5,1,2,2,9.5679020262196e-13,0.9488671837376155,0.665043020874899,0.00015976329212795667
ksweep_k4,o2,pair0.5,0.5,2,2,2,3.361755318564974e-13,0.9674382028199427,0.7313183394969285,0.00013290368853573241
ksweep_k4,o2,pair0.5,0.5,3,2,2,2.886579864025407e-15,0.9311365880158631,0.4886528190061433,0.00017242166079160478
ksweep_k4,o2,pair0.5,0.5,4,2,2,1.6961987370223142e-12,0.8944823942882404,0.8654719958271314,0.0002092470319692047
ksweep_k4,o2,pair0.5,0.5,5,2,2,6.288303211476887e-13,0.9889678421941498,0.35893868847058163,6.496515394226567e-05
ksweep_k4,o2,pair0.5,0.5,6,2,2,4.296563105299356e-14,0.9384094418580774,0.2850123636974975,0.00016717959047645286
ksweep_k4,o2,pair0.5,0.5,7,2,2,3.708144902248023e-14,0.96590190163174,0.9556407652549438,0.00013057278519505367
ksweep_k4,o2,pair0.5,0.5,8,2,2,5.362377208939506e-14,0.9531231753004396,0.9574650039962583,0.00015293815564197382
ksweep_k4,o2,pair0.5,0.5,9,2,2,3.29847260616134e-13,0.8912242352512878,0.8415718209870264,0.0002090486411373188
ksweep_k4,o2,pair0.5,0.5,10,2,2,1.1213252548714081e-14,0.9910695278032728,0.38182545293906345,5.1197036927236826e-05
ksweep_k4,o2,pair0.5,0.5,11,2,2,5.995204332975845e-15,0.9837896166218929,0.7675999443730532,6.85600642704401e-05
ksweep_k4,o2,pair0.5,0.5,12,2,2,9.254819133275305e-13,0.7640002756006701,0.5777838523141325,0.00030262298969719226
ksweep_k4,o2,pair0.5,0.5,13,2,2,1.7197354651443675e-13,0.9492685171816453,0.8434441180835364,0.00015246093226703344
ksweep_k4,o2,pair0.5,0.5,14,2,2,8.704148513061227e-14,0.729424116357225,0.29738267186046907,0.0003083865613852197
ksweep_k4,o2,pair0.5,0.5,15,2,2,1.9981793997203567e-12,0.95600249952785,0.7874828094111188,0.0001420820448488525
ksweep_k4,o2,pair0.5,0.5,16,2,2,1.27675647831893e-14,0.9953016425488159,0.7891261769887967,7.055434059233702e-05
ksweep_k4,o2,pair0.5,0.5,17,2,2,4.951594689828198e-14,0.970463288941943,0.763609085847337,0.00013045949984858644
ksweep_k4,o2,pair0.5,0.5,18,2,2,1.965094753586527e-14,0.9488101141201705,0.7811030461578671,0.00015582151697093516
ksweep_k4,o2,pair0.5,0.5,19,2,2,2.8421709430404007e-13,0.8606129607493311,0.92176512995467,0.00024005451594366308
ksweep_k4,o3,indep,0.0,0,3,3,5.471179065352771e-13,1.7774670624248756e-13,1.0,0.0
ksweep_k4,o3,indep,0.0,1,3,3,5.692080140562439e-11,4.013172016925637e-10,1.0,0.0
ksweep_k4,o3,indep,0.0,2,3,3,4.569788991659607e-12,4.283803312077339e-10,1.0,0.0
ksweep_k4,o3,indep,0.0,3,3,3,5.81756864903582e-14,4.417577414983498e-13,1.0,0.0
ksweep_k4,o3,indep,0.0,4,3,3,6.853295708708629e-12,1.0781486814437358e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,5,3,3,6.274980535181385e-13,2.7913227285125686e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,6,3,3,5.0741633117468155e-12,5.285194504267565e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,7,3,3,9.444334203578819e-12,4.481826021418556e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,8,3,3,6.573630528805552e-13,1.1256551246674462e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,9,3,3,1.9746426715983034e-12,2.278954802648059e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,10,3,3,9.232836717387727e-12,1.8757995157159257e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,11,3,3,2.5254243141148436e-12,1.743816202548487e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,12,3,3,3.0192515154681132e-12,1.3356871164660333e-11,1.0,0.0
ksweep_k4,o3,indep,0.0,13,3,3,4.773959005888173e-14,7.271849788992313e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,14,3,3,1.2595369192069938e-11,5.63615820681207e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,15,3,3,1.4355183708403274e-13,5.477840403500522e-13,1.0,0.0
ksweep_k4,o3,indep,0.0,16,3,3,1.999511667349907e-13,2.251865360847205e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,17,3,3,2.7083890685730694e-12,3.354871935812298e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,18,3,3,2.3081536681957004e-12,3.297362383136715e-12,1.0,0.0
ksweep_k4,o3,indep,0.0,19,3,3,4.771738559838923e-12,9.468759110120573e-12,1.0,0.0
ksweep_k4,o3,indep,0.5,0,3,3,1.3737011528291987e-11,2.5807134207411764e-12,0.8104159588456774,1.820054004732923e-05
ksweep_k4,o3,indep,0.5,1,3,3,3.0265456807399005e-11,2.1858514998029932e-11,0.9433088812566109,8.04665555126902e-06
ksweep_k4,o3,indep,0.5,2,3,3,1.318856135412716e-11,1.285547224227912e-10,0.7895611446981495,2.3434443303246284e-05
ksweep_k4,o3,indep,0.5,3,3,3,3.6259883984257613e-12,7.803868662392688e-12,0.10831891087533552,3.7664635363647725e-05
ksweep_k4,o3,indep,0.5,4,3,3,1.2498502233171394e-10,1.3186052250091507e-10,0.5027590337030302,0.0001006773451343031
ksweep_k4,o3,indep,0.5,5,3,3,2.9342639429330575e-11,7.963141257505413e-11,0.6107899009767781,4.704965193023447e-05
ksweep_k4,o3,indep,0.5,6,3,3,3.475220111681665e-12,4.341671466789876e-11,0.8217942623362615,1.7561619445169624e-05
ksweep_k4,o3,indep,0.5,7,3,3,2.905031770694677e-11,4.955280630269954e-11,0.5445407395701607,5.002892033995545e-05
ksweep_k4,o3,indep,0.5,8,3,3,1.0924372517706615e-11,1.9800827644189667e-11,0.7009045472068737,2.9490964135963202e-05
ksweep_k4,o3,indep,0.5,9,3,3,9.378053889008697e-13,1.826427897810845e-12,0.8670224012574853,1.006126571600734e-05
ksweep_k4,o3,indep,0.5,10,3,3,2.2130075549853245e-11,1.1252887510693199e-11,0.6606191356072054,2.0441006489476612e-05
ksweep_k4,o3,indep,0.5,11,3,3,1.7880141811588146e-12,2.8138602559124593e-12,0.8091481537134502,2.4393132717684155e-05
ksweep_k4,o3,indep,0.5,12,3,3,1.3437773116464768e-09,6.732620350113905e-09,0.8825141292891289,1.4145269665602358e-05
ksweep_k4,o3,indep,0.5,13,3,3,2.1649348980190553e-13,2.9554136915521667e-12,0.9293468038064245,9.65696957076449e-06
ksweep_k4,o3,indep,0.5,14,3,3,1.7945311903133643e-11,1.1069256622420198e-11,0.752412661736402,1.902036802159212e-05
ksweep_k4,o3,indep,0.5,15,3,3,2.912037277980062e-11,1.3255618824814519e-11,0.09879529415898891,4.118010542858193e-05
ksweep_k4,o3,indep,0.5,16,3,3,1.343480882098902e-12,1.241318159372895e-11,0.5066833414580922,3.817729252750046e-05
ksweep_k4,o3,indep,0.5,17,3,3,5.849432049842562e-12,3.964606420936434e-13,0.7110379175374798,2.5367965189286923e-05
ksweep_k4,o3,indep,0.5,18,3,3,3.4205971388701073e-12,6.946665465079604e-13,0.9518217488008076,7.44383766406309e-06
ksweep_k4,o3,indep,0.5,19,3,3,3.880383792065345e-10,8.707480292358127e-10,0.8374183214531808,1.6127639925677583e-05
ksweep_k4,o3,pair0.5,0.0,0,3,3,1.7974510768681284e-13,1.7782131322974237e-10,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,1,3,3,8.492095915357822e-13,2.5923214463929867e-08,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,2,3,3,5.359046539865631e-13,7.781331134992797e-10,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,3,3,3,6.639133687258436e-14,7.333543772247708e-09,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,4,3,3,1.089017764854816e-12,8.712760513063245e-10,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,5,3,3,5.737632591262809e-13,3.130804837603307e-09,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,6,3,3,3.04076319679325e-10,1.7032737442690404e-09,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,7,3,3,5.448974604860268e-13,1.5653034424190082e-12,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,8,3,3,1.2369694157854383e-10,7.074851815502825e-11,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,9,3,3,1.521738290932717e-11,1.8721990624470664e-10,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,10,3,3,7.836953308526518e-12,1.660730520880449e-07,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,11,3,3,3.32353033982713e-11,1.4439276441180482e-09,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,12,3,3,2.2526425169644426e-13,1.942753602435232e-08,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,13,3,3,7.595701845275471e-12,4.55972481994138e-10,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,14,3,3,3.063105324940807e-13,2.150759015329129e-09,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,15,3,3,2.0770274389292354e-11,3.5409463694513477e-08,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,16,3,3,3.3816838218569956e-11,4.148234644674176e-08,1.0,0.0
ksweep_k4,o3,pair0.5,0.0,17,3,3,1.893862844326577e-11,3.3944221877746372e-09,1.0,0.0
