experiment,dgp,dependence,rep,true_order,khat,rem1_p,rem2_p,rem2_mean,ub_cert
extensions_d5,o3_5,pair0.5,3,3,3,4.441025325263581e-11,1.5925979424125103e-09,0.14132313118220569,
extensions_d5,o3_5,pair0.5,4,3,3,7.89005305534829e-10,2.714242164358893e-10,0.14596874421117226,
extensions_d5,o3_5,pair0.5,5,3,3,2.359457074163629e-11,1.27178045872256e-10,0.14237827677863968,
extensions_d5,o3_5,pair0.5,6,3,3,5.023648164126371e-12,3.0785923810228155e-09,0.1356253185401685,
extensions_d5,o3_5,pair0.5,7,3,3,7.006617508409363e-13,8.382952110252972e-10,0.15426600861097234,
extensions_d5,o3_5,pair0.5,8,3,3,6.653622319774399e-09,2.889998018673623e-09,0.14014869987983034,
extensions_d5,o3_5,pair0.5,9,3,3,3.5133229658868004e-11,4.401227691186449e-07,0.15846455873714324,
extensions_d5,o3_5,pair0.9,0,3,3,1.7001877683497923e-10,1.1779932951316852e-07,0.004396296888051954,
extensions_d5,o3_5,pair0.9,1,3,3,4.9719117711788385e-12,3.091554937606489e-07,0.0038784723553546897,
extensions_d5,o3_5,pair0.9,2,3,3,3.530920000827109e-10,2.2599736448913887e-07,0.004830022407251921,
extensions_d5,o3_5,pair0.9,3,3,3,2.843281166065026e-13,1.0277398452274156e-06,0.0042411814452757105,
extensions_d5,o3_5,pair0.9,4,3,3,2.80206968739094e-11,3.8204596575219796e-07,0.004554890103205001,
extensions_d5,o3_5,pair0.9,5,3,3,6.472600233564663e-14,1.992516526216903e-07,0.004728878311200879,
extensions_d5,o3_5,pair0.9,6,3,3,3.1596947280831955e-12,8.48009942044925e-07,0.004034517131116666,
extensions_d5,o3_5,pair0.9,7,3,3,5.321632023935763e-12,3.3735802051904074e-07,0.004501934435362187,
extensions_d5,o3_5,pair0.9,8,3,3,6.222133919209227e-12,1.3141324636256613e-06,0.004613092818207399,
extensions_d5,o3_5,pair0.9,9,3,3,1.6595835816701765e-11,2.917943355829067e-07,0.004285220058391592,
