experiment,sigma,rep,data_seed,data_hash,khat_ordersweep,khat_cv1se,rem1_p,rem2_p,rem2_mean,ub_cert,cv_mse_gap23,cv_1se_margin,cv_1se_cutoff
discriminator_power,2.5,1,658328730,2602bf86665f0db4ae50945adc4e93558517f0caafb3b850fdaced308af8d0b2,3,2,2.6139962416849016e-09,0.00015513143853695954,0.002560635676881251,,0.021053052135002304,0.08667806304017331,6.366261682803042
discriminator_power,2.5,2,658329707,4a81ff340e4e8c34c109b78bf5c2b2dc439d3866ff5651eefabe943c6e944e4f,3,2,1.9092855629843086e-08,0.01360454415699941,0.002516539882347524,,0.022533495298431738,0.04090696722674019,6.413037008984087
discriminator_power,2.5,3,658330684,c01108fdac6480fc495666586f22a5d5059db21f96fd9be9efd0435dd9668769,3,2,4.5740710552522046e-08,0.004147384503077833,0.002184028616339728,,0.015800237149539598,0.06762809265909837,6.390396915135173
discriminator_power,2.5,4,658331661,faa8ddcc863292066bf39a7ab4ec9e25ae741ed8b560ab3b5486dcbc96f0ffff,3,2,1.7890688930322085e-11,0.013932001691296159,0.002283897116654288,,0.018989012012885276,0.0867748590074628,6.44903266605157
discriminator_power,2.5,5,658332638,ec8a5bafbfe53258862c293e732c06c4b215aed148c8b1c37f35f9e469067c81,3,2,5.4082960332380026e-11,0.003417575218572111,0.0018232022147182004,,0.02102982905138795,0.04063220700922058,6.239897768303311
discriminator_power,2.5,6,658333615,e6551330d874189cc31a0279c60a5030ed0f33fdc6012021d8400d9680a12193,2,2,4.454033808443114e-10,0.15611985880387969,0.0005086045073135481,0.0015713437816891483,0.006483982966395629,0.058996486164543754,6.385274437231562
discriminator_power,2.5,7,658334592,88f76a4c87f42198efd40d1e50e8d07b5086266e80d5cc5e0dc4b06b89c8ea15,3,2,3.796449488113751e-09,0.03376275318815136,0.0014573980955868593,,0.012305152036287126,0.05745528500654909,6.266943148409699
discriminator_power,2.5,8,658335569,17081e4da74141b67dd8c69ec8543254d9f7f82a9cea4d73cfff94196a2daf0d,3,2,1.3369891860293137e-09,0.005954372162727872,0.0020588750591427176,,0.014786942990951069,0.08244215847669263,6.3184439674448925
discriminator_power,2.5,9,658336546,a6e1d6d9f892b02a073f39a1c651c76edb8ad7d4dca51d4c9d696ca668341855,3,2,2.0042167925282683e-10,0.0020720320020626293,0.0018273827709254342,,0.01914041307850045,0.07186238571705057,6.384496138330835
discriminator_power,2.5,10,658337523,3ec76d30cb51b250a6c8726ea8edd1eba0407ab8a6ff6a6b12d34d0a7a0c9615,3,2,1.429323326362919e-10,0.003780802917585979,0.003531304053415396,,0.03073180608422188,0.07083299606782784,6.380576336369138
discriminator_power,2.5,11,658338500,73babf6a7a33b69dc714a8a512f978a4bf8a86d87b35ea95109f0234514d2bb3,3,2,2.6261215424483453e-11,0.023062333470945773,0.002023551155318426,,0.021394768636527672,0.037290046092557795,6.3008439712675965
discriminator_power,2.5,12,658339477,35b5906a7fbd23582ddb615381cfbea88e14934921bf01e3421230d6e3d158df,2,2,9.68687619007369e-09,0.15304648150653577,0.0006108964143959672,0.0018344859570687542,0.005758776341556526,0.037636874303218014,6.358458753460405
discriminator_power,2.5,13,658340454,5280e525b351a9166c5f687b89201352c2e97005f6d47158cc615b688a1070b7,3,2,1.6247292400350943e-10,0.001022720955052292,0.002310417087836414,,0.018191169073231706,0.0690011361245707,6.252859259252577
discriminator_power,2.5,14,658341431,2d3d5ff096423be6c234048c50a14a992d73dec63ba1f07222b79a2d5553fa73,3,2,5.096256749936856e-12,0.009442405838544055,0.002582234019157359,,0.0184295213070218,0.06011512127547119,6.313495759269009
discriminator_power,2.5,15,658342408,296f23820836fa9a17632178ebd90cd48491a995a24e027d37177c504eaea8ef,3,2,1.3716836888555406e-08,0.0035246147646673665,0.003179092846746623,,0.026437365680113345,0.04156569692799195,6.413782494281142
discriminator_power,2.5,16,658343385,84aa3124fac4fe05658581b5515b27a34e2a62100089384493facf8ef7bb8093,3,2,1.1811651656756794e-09,0.027697834925766607,0.002046651370570951,,0.018890771648372606,0.037832255724395726,6.263909478655312
discriminator_power,2.5,17,658344362,fd145ca549648b2a330544712f3b8717340c3188dd44c6c9f371d6afa237d60a,3,2,2.2640144203833756e-09,0.010516038020761398,0.0012075964172369668,,0.00901900975876302,0.04625088964416132,6.345924915781083
